sensor name,state
LEO-E_20_2_2_5TM,1
LEO-E_20_2_3_5TM,4
LEO-E_18_3_1_5TM,4
LEO-E_18_3_2_5TM,1
LEO-E_18_3_3_5TM,4
LEO-E_20_3_1_5TM,4
LEO-E_20_3_2_5TM,1
LEO-E_20_3_4_5TM,4
LEO-E_18_4_1_5TM,1
LEO-E_18_4_2_5TM,1
LEO-E_18_4_4_5TM,4
LEO-E_18_4_5_5TM,1
LEO-E_20_4_1_5TM,1
LEO-E_20_4_2_5TM,1
LEO-E_20_4_3_5TM,1
LEO-E_18_5_1_5TM,1
LEO-E_18_5_2_5TM,1
LEO-E_18_5_3_5TM,1
LEO-E_20_5_1_5TM,1
LEO-E_20_5_2_5TM,1
LEO-E_20_5_4_5TM,0
LEO-E_16_0_1_5TM,1
LEO-E_16_0_2_5TM,0
LEO-E_16_0_3_5TM,3
LEO-E_18_0_1_5TM,4
LEO-E_18_0_2_5TM,1
LEO-E_18_0_4_5TM,3
LEO-E_18_0_5_5TM,1
LEO-E_20_0_1_5TM,0
LEO-E_20_0_2_5TM,3
LEO-E_20_0_3_5TM,0
LEO-E_22_0_1_5TM,4
LEO-E_22_0_2_5TM,0
LEO-E_22_0_4_5TM,0
LEO-E_22_0_5_5TM,4
LEO-E_24_0_1_5TM,1
LEO-E_24_0_2_5TM,1
LEO-E_24_0_3_5TM,1
LEO-E_26_0_1_5TM,1
LEO-E_26_0_2_5TM,0
LEO-E_26_0_4_5TM,1
LEO-E_26_0_5_5TM,1
LEO-E_28_0_1_5TM,1
LEO-E_28_0_2_5TM,1
LEO-E_28_0_3_5TM,4
LEO-E_22_-5_1_5TM,0
LEO-E_22_-5_2_5TM,1
LEO-E_22_-5_3_5TM,0
LEO-E_24_-5_1_5TM,1
LEO-E_24_-5_2_5TM,1
LEO-E_24_-5_4_5TM,4
LEO-E_22_-4_1_5TM,1
LEO-E_22_-4_2_5TM,0
LEO-E_22_-4_4_5TM,0
LEO-E_22_-4_5_5TM,1
LEO-E_24_-4_1_5TM,1
LEO-E_24_-4_2_5TM,0
LEO-E_24_-4_3_5TM,4
LEO-E_22_-3_1_5TM,0
LEO-E_22_-3_2_5TM,1
LEO-E_22_-3_3_5TM,4
LEO-E_24_-3_1_5TM,1
LEO-E_24_-3_2_5TM,1
LEO-E_24_-3_4_5TM,0
LEO-E_22_-2_1_5TM,0
LEO-E_22_-2_2_5TM,1
LEO-E_22_-2_4_5TM,4
LEO-E_22_-2_5_5TM,4
LEO-E_24_-2_1_5TM,1
LEO-E_24_-2_2_5TM,1
LEO-E_24_-2_3_5TM,0
LEO-E_22_-1_1_5TM,0
LEO-E_22_-1_2_5TM,1
LEO-E_22_-1_3_5TM,0
LEO-E_24_-1_1_5TM,0
LEO-E_24_-1_2_5TM,0
LEO-E_24_-1_4_5TM,4
LEO-E_22_1_1_5TM,1
LEO-E_22_1_2_5TM,1
LEO-E_22_1_3_5TM,1
LEO-E_24_1_1_5TM,0
LEO-E_24_1_2_5TM,1
LEO-E_24_1_4_5TM,4
LEO-E_22_2_1_5TM,1
LEO-E_22_2_2_5TM,4
LEO-E_22_2_4_5TM,0
LEO-E_22_2_5_5TM,0
LEO-E_24_2_1_5TM,0
LEO-E_24_2_2_5TM,0
LEO-E_24_2_3_5TM,1
LEO-E_22_3_1_5TM,0
LEO-E_22_3_2_5TM,4
LEO-E_22_3_3_5TM,1
LEO-E_24_3_1_5TM,1
LEO-E_24_3_2_5TM,0
LEO-E_24_3_4_5TM,1
LEO-E_22_4_1_5TM,0
LEO-E_22_4_2_5TM,4
LEO-E_22_4_4_5TM,0
LEO-E_22_4_5_5TM,1
LEO-E_24_4_1_5TM,0
LEO-E_24_4_2_5TM,4
LEO-E_24_4_3_5TM,0
LEO-E_22_5_1_5TM,1
LEO-E_22_5_2_5TM,0
LEO-E_22_5_3_5TM,1
LEO-E_24_5_1_5TM,0
LEO-E_24_5_2_5TM,0
LEO-E_24_5_4_5TM,1
LEO-E_26_-5_1_5TM,0
LEO-E_26_-4_1_5TM,1
LEO-E_26_-3_1_5TM,0
LEO-E_26_-2_1_5TM,0
LEO-E_26_-1_1_5TM,0
LEO-E_28_-5_1_5TM,0
LEO-E_28_-4_1_5TM,0
LEO-E_28_-3_1_5TM,0
LEO-E_28_-2_1_5TM,0
LEO-E_28_-1_1_5TM,0
LEO-E_26_-5_2_5TM,1
LEO-E_26_-5_3_5TM,1
LEO-E_26_-4_2_5TM,0
LEO-E_26_-4_4_5TM,3
LEO-E_26_-3_2_5TM,0
LEO-E_26_-3_3_5TM,0
LEO-E_26_-2_2_5TM,0
LEO-E_26_-2_4_5TM,0
LEO-E_26_-1_2_5TM,4
LEO-E_26_-1_3_5TM,0
LEO-E_28_-5_2_5TM,1
LEO-E_28_-5_4_5TM,0
LEO-E_28_-4_2_5TM,1
LEO-E_28_-4_3_5TM,0
LEO-E_28_-3_2_5TM,4
LEO-E_28_-3_4_5TM,1
LEO-E_28_-2_2_5TM,4
LEO-E_28_-2_3_5TM,0
LEO-E_28_-1_2_5TM,0
LEO-E_28_-1_4_5TM,0
LEO-E_26_-2_5_5TM,0
LEO-E_26_1_1_5TM,0
LEO-E_26_1_2_5TM,0
LEO-E_26_1_3_5TM,0
LEO-E_28_1_1_5TM,0
LEO-E_28_1_2_5TM,1
LEO-E_28_1_4_5TM,0
LEO-E_26_2_1_5TM,1
LEO-E_26_2_2_5TM,1
LEO-E_26_2_4_5TM,0
LEO-E_26_2_5_5TM,3
LEO-E_28_2_1_5TM,1
LEO-E_28_2_2_5TM,0
LEO-E_28_2_3_5TM,0
LEO-E_26_3_1_5TM,0
LEO-E_26_3_2_5TM,1
LEO-E_26_3_3_5TM,1
LEO-E_28_3_1_5TM,0
LEO-E_28_3_2_5TM,0
LEO-E_28_3_4_5TM,0
LEO-E_26_4_1_5TM,0
LEO-E_26_4_2_5TM,1
LEO-E_26_4_4_5TM,3
LEO-E_28_4_1_5TM,1
LEO-E_28_4_2_5TM,0
LEO-E_28_4_3_5TM,0
LEO-E_26_5_1_5TM,0
LEO-E_26_5_2_5TM,1
LEO-E_26_5_3_5TM,0
LEO-E_28_5_1_5TM,1
LEO-E_28_5_2_5TM,0
LEO-E_28_5_4_5TM,1
